Time,RPM,TPS,IAT,CLT,Engine,Accel Enrich,VE,Advance,Battery V,Hard Limiter
,rpm,%,,,bits,%,%,deg,V,
0,3225,11,30,39,9,100,59,25,13.2,0
0,3064,11,30,39,9,100,59,25,13.3,0
0.119,3123,11,30,39,9,100,59,25,13.3,0
0.238,3170,11,30,39,9,100,59,25,13.4,0
0.36,3103,11,30,39,9,100,59,25,13.4,0
0.479,3060,11,30,39,9,100,59,25,13.5,0
0.598,3118,11,30,39,9,100,59,25,13.5,0
0.721,3099,11,30,39,9,100,59,25,13.5,0
0.828,3129,11,30,39,9,100,59,25,13.5,0
0.946,3110,11,30,39,9,100,59,25,13.5,0
1.069,3103,11,30,39,9,100,59,25,13.5,0
1.188,3088,11,30,39,9,100,59,25,13.5,0
1.311,3145,11,30,39,9,100,59,25,13.5,0
1.43,3134,11,30,39,9,100,59,25,13.5,0
1.549,3076,11,30,39,9,100,59,25,13.5,0
1.671,3137,11,30,39,9,100,59,25,13.5,0
1.777,3260,11,30,39,9,100,59,25,13.6,0
1.901,3189,11,30,39,9,100,59,25,13.6,0
2.02,3245,11,30,39,9,100,59,25,13.5,0
2.143,3252,11,30,39,9,100,59,25,13.5,0
2.261,3268,11,30,39,9,100,59,25,13.6,0
2.384,3282,11,30,39,9,100,59,25,13.6,0
2.503,3267,11,30,39,9,100,59,25,13.5,0
2.622,3327,11,30,39,9,100,59,25,13.5,0
2.745,3499,11,30,39,9,100,59,26,13.5,0
2.852,3498,11,30,39,9,100,59,26,13.5,0
2.974,3282,11,30,39,9,100,59,25,13.5,0
3.093,3106,11,30,39,9,100,59,25,13.5,0
3.212,3201,11,30,40,9,100,59,25,13.5,0
3.334,3362,11,30,40,9,100,59,25,13.5,0
3.454,3348,11,30,40,9,100,59,25,13.5,0
3.577,3351,11,30,40,9,100,59,25,13.5,0
3.695,3464,11,30,40,9,100,59,26,13.5,0
3.801,3643,11,30,40,9,100,59,26,13.5,0
3.924,3619,11,30,40,9,100,59,26,13.5,0
4.043,3643,11,30,40,9,100,59,26,13.4,0
4.167,3537,11,30,40,9,100,59,26,13.4,0
4.288,3349,11,30,40,9,100,59,25,12.9,0
4.408,3335,11,30,40,9,100,59,25,12.9,0
4.527,3457,11,30,40,9,100,59,26,13.2,0
4.65,3486,11,30,40,9,100,59,26,13.2,0
4.773,3615,11,30,40,9,100,59,26,13.4,0
4.904,3685,11,30,40,9,100,59,26,13.4,0
5.026,3790,11,30,40,9,100,59,26,13.5,0
5.145,3842,11,30,40,9,100,59,26,13.5,0
5.268,3873,11,30,40,9,100,59,26,13.5,0
5.391,3678,11,30,40,9,100,59,26,13.5,0
5.51,3397,11,30,40,9,100,59,25,13,0
5.632,3182,11,30,40,9,100,59,25,13,0
5.751,3298,11,30,40,9,100,59,25,13.3,0
5.882,3450,11,30,40,9,100,59,26,13.3,0
6.002,3637,12,30,40,9,100,60,27,13.4,0
6.116,3893,12,30,40,9,100,60,27,13.4,0
6.231,4128,12,30,40,9,100,60,27,13.4,0
6.349,4087,12,30,40,9,100,60,27,13.1,0
6.464,4008,12,30,40,9,100,60,27,13.1,0
6.579,3957,12,30,40,9,100,60,27,13.3,0
6.698,3996,12,30,40,9,100,60,27,13.3,0
6.805,4029,12,30,40,9,100,60,27,13.4,0
6.923,3993,12,30,40,9,100,60,27,13.4,0
7.037,4014,12,30,40,9,100,60,27,13.5,0
7.156,4179,12,30,40,9,100,60,27,13.5,0
7.271,4179,12,30,40,9,100,60,27,13.5,0
7.39,4153,13,30,40,9,100,60,27,13.5,0
7.509,4202,13,30,40,9,100,60,27,13.6,0
7.632,4038,13,30,40,9,100,60,27,13.6,0
7.75,4091,13,30,40,9,100,60,27,13.6,0
7.877,4245,13,30,40,9,100,60,27,13.4,0
8,4188,13,30,40,9,100,60,27,13.4,0
8.124,4322,13,30,40,9,100,60,27,13.4,0
8.246,4148,12,30,40,9,100,60,27,13.4,0
8.368,3839,11,30,40,9,100,59,26,13.4,0
8.488,3300,11,30,40,9,100,59,25,13.4,0
8.611,3070,11,30,40,9,100,59,25,13.4,0
8.73,2833,11,30,40,9,100,59,24,13.4,0
8.857,2955,11,30,40,9,100,59,24,13.5,0
8.98,3081,11,30,40,9,100,59,25,13.5,0
9.098,3121,11,30,40,9,100,59,25,13.4,0
9.221,3220,11,30,40,9,100,59,25,13.4,0
9.34,3263,11,30,41,9,100,59,25,13.5,0
9.459,3184,11,30,41,9,100,59,25,13.5,0
9.582,3104,11,30,41,9,100,59,25,13,0
9.7,3030,11,30,41,9,100,59,25,13,0
9.823,3031,11,30,41,9,100,59,25,12.9,0
9.929,3089,11,30,41,9,100,59,25,12.9,0
10.053,3232,11,30,41,9,100,59,25,13,0
10.172,3238,11,30,41,9,100,59,25,13,0
10.295,3123,11,30,41,9,100,59,25,13.3,0
10.413,3184,11,30,41,9,100,59,25,13.3,0
10.532,3238,11,30,41,9,100,59,25,13.3,0
10.655,3262,11,30,41,9,100,59,25,13.5,0
10.774,3215,11,30,41,9,100,59,25,13.5,0
10.88,3260,11,30,41,9,100,59,25,13.6,0
11.004,3234,11,30,41,9,100,59,25,13.6,0
11.122,3277,11,30,41,9,100,59,25,13.6,0
11.245,3229,11,30,41,9,100,59,25,13.6,0
11.364,3268,11,30,41,9,100,59,25,13.6,0
11.487,3155,11,30,41,9,100,59,25,13.6,0
11.606,3190,11,30,41,9,100,59,25,13.6,0
11.728,3214,11,30,41,9,100,59,25,13.6,0
11.847,3223,11,30,41,9,100,59,25,13.1,0
11.953,3292,11,30,41,9,100,59,25,13.1,0
12.076,3202,11,30,41,9,100,59,25,13.4,0
12.195,3382,11,30,41,9,100,59,25,13.4,0
12.318,3429,11,30,41,9,100,59,26,13.5,0
12.437,3305,11,30,41,9,100,59,25,13.5,0
12.559,3186,11,30,41,9,100,59,25,13.5,0
12.678,3146,11,30,41,9,100,59,25,13.6,0
12.801,3198,11,30,41,9,100,59,25,13.6,0
