Time,RPM,TPS,O2,Lambda,IAT,CLT,Engine,Accel Enrich,VE,TPS DOT,Advance,Battery V,rpm/s,Hard Limiter
,rpm,%,O2,,,,bits,%,%,%/s,deg,V,rpm/s,
0,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.058,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.123,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.18,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.246,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.311,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.372,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.438,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.508,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.569,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.635,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.704,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.765,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.836,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.901,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
0.97,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.041,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.109,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.171,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.237,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.306,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.367,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.438,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.522,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.581,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.639,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.696,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.761,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.826,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.888,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
1.954,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.019,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.081,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.151,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.22,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.285,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.355,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.425,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.49,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.56,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.629,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.691,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.756,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.823,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.888,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
2.957,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.027,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.092,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.162,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.223,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.289,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.359,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.428,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.494,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.564,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.633,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.695,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.76,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.83,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.899,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
3.961,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.026,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.096,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.162,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.227,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.293,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.359,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.428,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.498,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.567,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.629,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.694,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.763,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.826,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.895,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
4.965,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.03,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.1,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.169,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.239,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.305,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.374,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.436,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.501,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.563,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.632,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.698,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.763,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.829,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.894,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
5.964,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.034,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.103,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.168,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.238,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.3,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.365,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.435,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.505,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.566,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.636,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.701,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.771,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.841,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.902,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
6.968,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.037,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.102,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.172,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.234,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.303,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.369,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.435,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.5,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.566,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.632,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.701,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.771,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.836,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.901,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
7.967,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.037,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.106,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.168,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.233,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.303,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.369,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.438,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.5,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.57,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.635,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.704,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.775,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.84,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.905,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
8.97,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.033,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.102,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.168,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.237,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.302,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.364,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.434,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.503,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.569,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.638,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.7,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.765,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.831,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.901,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
9.966,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.036,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.111,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.175,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.241,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.31,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.38,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.441,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.506,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.572,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.642,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.712,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.773,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.838,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.905,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
10.97,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.035,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.105,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.174,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.245,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.314,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.376,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.441,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.51,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.576,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.646,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.715,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.785,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.846,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.908,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
11.973,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.043,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.108,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.179,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.247,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.31,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.375,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.445,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.514,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.579,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.649,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.719,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.78,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.846,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.916,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
12.985,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.055,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.116,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.186,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.252,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.321,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.382,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.449,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.518,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.583,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.653,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.722,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.784,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.85,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.919,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
13.988,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.058,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.128,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.189,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.255,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.317,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.382,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.452,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.522,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.591,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.657,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.726,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.796,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.858,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.923,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
14.993,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.062,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.132,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.202,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.271,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.332,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.399,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.464,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.533,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.602,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.664,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.73,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.795,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.861,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.926,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
15.996,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.057,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.123,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.193,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.262,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.327,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.397,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.459,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.525,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.594,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.664,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.729,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.799,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.869,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
16.934,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.069,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.131,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.197,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.266,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.332,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.401,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.47,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.54,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.602,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.668,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.737,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.807,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.872,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
17.938,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
18.008,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
18.073,0,8,7.4,0.503,32,92,0,0,0,0,0,0.4,0,0
