Time,RPM,TPS,O2,Lambda,IAT,CLT,Engine,Accel Enrich,VE,TPS DOT,Advance,Battery V,rpm/s,Hard Limiter
,rpm,%,O2,,,,bits,%,%,%/s,deg,V,rpm/s,
0,2281,7,7.6,0.517,30,52,9,100,48,0,23,13.3,4360,0
0.001,2425,7,7.4,0.503,30,52,9,100,49,0,24,13.3,3580,0
0.065,2653,7,7.4,0.503,30,52,9,100,49,0,24,13.3,3580,0
0.126,2706,7,7.4,0.503,30,52,9,100,49,0,24,13.3,2340,0
0.187,2746,7,7.4,0.503,30,52,9,100,49,0,24,13.3,2340,0
0.249,2777,7,7.6,0.517,30,52,9,100,49,0,24,12.6,870,0
0.31,2779,7,7.6,0.517,30,52,9,100,49,0,24,12.6,780,0
0.372,2793,7,7.6,0.517,30,52,9,100,49,0,24,12.6,780,0
0.433,2650,7,7.5,0.51,30,52,9,100,49,0,24,13,-770,0
0.527,2388,7,7.5,0.51,30,52,9,100,49,0,23,13,-2160,0
0.585,2023,7,7.5,0.51,30,52,9,100,48,0,23,13,-2160,0
0.646,1619,7,7.5,0.51,30,52,9,100,54,0,22,13,-5080,0
0.712,1415,7,7.4,0.503,30,52,9,100,56,0,22,13.2,-6080,0
0.794,1414,7,7.4,0.503,30,52,9,100,56,0,22,13.2,-6080,0
0.855,1336,7,7.4,0.503,30,52,9,100,56,0,22,13.2,-10,0
0.921,1403,7,7.4,0.503,30,52,9,100,56,0,22,13.2,390,0
0.986,1551,7,7.5,0.51,30,52,9,100,54,0,22,13.3,390,0
1.052,1751,7,7.5,0.51,30,52,9,100,52,0,23,13.3,980,0
1.121,1817,7,7.5,0.51,30,52,9,100,51,0,23,13.3,4470,0
1.19,1692,7,7.5,0.51,30,52,9,100,53,0,22,13.3,4470,0
1.256,2068,7,7.5,0.51,30,52,9,100,48,0,23,13.3,-3060,0
1.322,2263,7,7.5,0.51,30,52,9,100,48,0,23,13.3,5710,0
1.38,2636,7,7.5,0.51,30,52,9,100,49,0,24,13.3,5710,0
1.441,2759,7,7.5,0.51,30,52,9,100,49,0,24,13.3,3980,0
1.502,2835,7,7.4,0.503,30,52,9,100,49,0,24,13.3,3980,0
1.564,2788,7,7.4,0.503,30,52,9,100,49,0,24,13.3,1740,0
1.658,2683,7,7.4,0.503,30,52,9,100,49,0,24,13.3,-470,0
1.72,2645,7,7.5,0.51,30,52,9,100,49,0,24,13.3,-1160,0
1.801,2408,7,7.5,0.51,30,52,9,100,49,0,24,13.3,-1160,0
1.862,2037,7,7.5,0.51,30,52,9,100,48,0,23,13.3,-2640,0
1.924,1654,7,7.5,0.51,30,52,9,100,53,0,22,13.3,-6010,0
1.989,1488,7,7.6,0.517,30,52,9,100,55,0,22,13.3,-6010,0
2.055,1620,7,7.6,0.517,30,52,9,100,54,0,22,13.3,-3450,0
2.125,1522,7,7.6,0.517,30,52,9,100,55,0,22,13.3,600,0
2.191,1735,7,7.6,0.517,30,52,9,100,52,0,23,13.3,600,0
2.26,1835,7,7.6,0.517,30,52,9,100,51,0,23,13.3,2130,0
2.326,2069,7,7.6,0.517,30,52,9,100,48,0,23,13.3,1210,0
2.392,1708,7,7.6,0.517,30,52,9,100,52,0,23,13.3,1210,0
2.457,1972,7,7.6,0.517,30,52,9,100,49,0,23,13.3,-1480,0
2.526,2222,7,7.5,0.51,30,52,9,100,48,0,23,13.3,5140,0
2.588,2351,7,7.5,0.51,30,52,9,100,49,0,23,13.3,5140,0
2.649,2583,7,7.5,0.51,30,52,9,100,49,0,24,13.3,2200,0
2.739,2583,7,7.5,0.51,30,52,9,100,49,0,24,13.3,2040,0
2.813,2243,7,7.5,0.51,30,52,9,100,48,0,23,13.3,2040,0
2.874,2219,7,7.5,0.51,30,52,9,100,48,0,23,13.3,-4030,0
2.932,1824,7,7.5,0.51,30,52,9,100,51,0,23,13.3,-4190,0
2.998,1613,7,7.4,0.503,30,52,9,100,54,0,22,13.3,-4190,0
3.063,1654,7,7.4,0.503,30,52,9,100,53,0,22,13.3,-2110,0
3.132,1635,7,7.4,0.503,30,52,9,100,53,0,22,13.3,220,0
3.198,1732,7,7.4,0.503,30,52,9,100,52,0,23,13.3,220,0
3.267,2056,7,7.5,0.51,30,52,9,100,48,0,23,13.3,1560,0
3.333,1706,7,7.5,0.51,30,52,9,100,52,0,23,13.3,980,0
3.399,1993,7,7.5,0.51,30,52,9,100,49,0,23,13.3,980,0
3.465,2196,7,7.5,0.51,30,52,9,100,48,0,23,13.3,1040,0
3.53,2589,7,7.5,0.51,30,52,9,100,49,0,24,13.3,4090,0
3.62,2637,7,7.5,0.51,30,52,9,100,49,0,24,13.3,4090,0
3.682,2717,7,7.5,0.51,30,52,9,100,49,0,24,13.3,2460,0
3.743,2698,7,7.5,0.51,30,52,9,100,49,0,24,13.4,810,0
3.824,2606,7,7.5,0.51,30,52,9,100,49,0,24,13.4,810,0
3.886,2251,7,7.5,0.51,30,52,9,100,48,0,23,13.4,-1580,0
