Time,RPM,TPS,O2,Lambda,IAT,CLT,Engine,Accel Enrich,VE,TPS DOT,Advance,Battery V,rpm/s,Hard Limiter
,rpm,%,O2,,,,bits,%,%,%/s,deg,V,rpm/s,
0,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.001,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.057,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.118,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.18,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.245,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.311,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.373,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.437,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.507,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.576,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.642,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.704,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.773,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.839,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.909,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
0.978,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.047,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.113,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.183,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.252,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.322,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.384,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.449,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.519,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
1.585,0,19,7.4,0.503,28,79,0,100,0,0,7,0.4,0,0
