Time,RPM,TPS,O2,Lambda,IAT,CLT,Engine,Accel Enrich,VE,TPS DOT,Advance,Battery V,rpm/s,Hard Limiter
,rpm,%,O2,,,,bits,%,%,%/s,deg,V,rpm/s,
0,8902,18,12.6,0.857,26,70,9,100,79,0,35,12.2,-3830,0
0,8246,13,12.6,0.857,26,70,9,100,69,0,33,12.2,-9260,0
0.074,7704,10,13.1,0.891,26,70,9,100,67,0,31,12.5,-8350,0
0.148,7085,9,13.1,0.891,26,70,9,100,67,0,29,12.5,-8340,0
0.213,6657,8,13.1,0.891,26,70,9,100,66,0,30,12.5,-8340,0
0.275,6221,8,13.1,0.891,26,70,9,100,65,0,30,12.5,-7980,0
0.332,5760,8,13.3,0.905,26,70,9,100,62,0,30,12.7,-7980,0
0.394,5266,8,13.3,0.905,26,70,9,100,58,0,28,12.7,-7730,0
0.46,4743,8,13.3,0.905,26,70,9,100,61,0,27,12.7,-7450,0
0.533,4314,8,13.3,0.905,26,70,9,100,61,0,27,12.7,-7450,0
0.598,3820,8,13.9,0.946,26,70,9,100,57,0,26,12.8,-6540,0
0.672,3437,8,13.9,0.946,26,70,9,100,54,0,26,12.8,-6430,0
0.733,3192,8,13.9,0.946,26,70,9,100,52,0,25,12.8,-6430,0
0.795,2867,8,13.9,0.946,26,70,9,100,50,0,24,12.8,-5030,0
0.856,2520,8,12.7,0.864,26,70,9,100,49,0,24,12.9,-3900,0
0.951,2329,8,12.7,0.864,26,70,9,100,49,0,23,12.9,-3900,0
1.012,2207,8,12.7,0.864,26,70,9,100,49,0,23,12.9,-3350,0
1.07,2198,8,11.8,0.803,26,70,9,100,49,0,23,12.9,-900,0
1.132,2201,8,11.8,0.803,26,70,9,100,49,0,23,12.9,-900,0
1.193,2396,8,11.8,0.803,26,70,9,100,49,0,23,12.9,360,0
1.254,2672,12,11.8,0.803,26,70,9,100,51,60,24,12.9,2430,0
1.344,2807,20,11.9,0.81,26,70,25,172,69,110,28,12.9,2430,0
1.409,2893,49,11.9,0.81,26,70,25,172,85,110,30,12.9,2970,0
1.483,4764,74,11.9,0.81,26,70,25,172,100,110,40,12.9,12510,0
1.553,5298,87,11.9,0.81,26,70,25,100,108,180,32,12.9,12320,0
1.623,6521,93,13,0.884,26,70,25,100,133,180,25,12.8,12320,0
1.692,6593,96,13,0.884,26,70,25,100,136,180,25,12.8,14400,0
1.758,6631,98,13,0.884,26,70,9,100,135,0,25,12.8,14400,0
1.824,6567,99,12.8,0.871,26,70,9,100,135,0,25,12.8,-1710,0
1.889,6573,99,12.8,0.871,26,70,9,100,135,0,25,12.8,700,0
1.954,6570,99,12.8,0.871,26,70,9,100,135,0,25,12.8,700,0
2.02,6672,99,12.8,0.871,26,70,9,100,137,0,25,12.8,-1160,0
2.085,6732,99,12.5,0.85,26,70,9,100,136,0,25,12.8,2900,0
2.155,6584,99,12.5,0.85,26,70,9,100,135,0,25,12.8,2900,0
2.221,6567,99,12.5,0.85,26,70,9,100,135,0,25,12.8,-2410,0
2.286,6648,99,12.5,0.85,26,70,9,100,136,0,25,12.8,1530,0
2.352,6602,99,12.3,0.837,26,70,9,100,135,0,25,12.9,1530,0
2.418,6541,99,12.3,0.837,26,70,9,100,135,0,25,12.9,-2330,0
2.484,6590,99,12.3,0.837,26,70,9,100,135,0,25,12.9,1120,0
2.549,6605,99,12.3,0.837,26,70,9,100,135,0,25,12.9,1120,0
2.613,6666,99,12.5,0.85,26,70,9,100,136,0,25,12.9,-980,0
2.703,6510,99,12.5,0.85,26,70,9,100,135,0,25,12.9,920,0
2.769,6518,99,12.5,0.85,26,70,9,100,136,0,25,12.9,920,0
2.835,6637,99,12.8,0.871,26,70,9,100,136,0,25,12.9,-780,0
2.9,6699,99,12.8,0.871,26,70,9,100,136,0,25,12.9,30,0
2.966,6684,99,12.8,0.871,26,70,9,100,136,0,25,12.9,30,0
3.032,6521,99,12.8,0.871,26,70,9,100,135,0,25,12.9,1130,0
3.098,6521,99,12.6,0.857,26,70,9,100,135,0,25,12.9,0,0
3.163,6827,81,12.6,0.857,26,70,9,100,129,0,37,12.9,0,0
3.233,6986,44,12.6,0.857,26,70,9,100,117,0,40,12.9,2880,0
3.307,6415,26,12.6,0.857,26,70,9,100,98,0,35,12.9,-2790,0
3.38,5905,16,13.1,0.891,26,70,9,100,70,0,30,12.9,-2790,0
3.446,5428,12,13.1,0.891,26,70,9,100,61,0,29,12.9,-7380,0
3.507,4981,10,13.1,0.891,26,70,9,100,61,0,28,12.9,-8170,0
3.572,4436,9,13.1,0.891,26,70,9,100,63,0,27,12.9,-8170,0
3.642,3967,8,13.1,0.891,26,70,9,100,58,0,26,12.9,-6520,0
3.716,3637,8,13.1,0.891,26,70,9,100,55,0,26,12.9,-6730,0
3.777,3195,9,13.1,0.891,26,70,9,100,53,0,25,12.9,-6730,0
3.839,3032,14,13.1,0.891,26,70,9,100,57,70,25,12.9,-6500,0
3.905,3524,23,13.3,0.905,26,70,25,178,76,120,32,12.9,3010,0
3.97,4945,30,13.3,0.905,26,70,25,178,89,120,34,12.9,3010,0
4.043,5440,33,13.3,0.905,26,70,25,178,95,120,37,12.9,20420,0
4.117,5945,35,12.5,0.85,26,70,9,100,104,0,38,12.9,640,0
4.191,7485,36,12.5,0.85,26,70,9,100,106,0,37,12.9,19650,0
4.264,9079,36,12.5,0.85,26,70,9,100,106,0,37,12.9,19650,0
4.339,10040,35,12,0.816,26,70,9,100,107,0,35,12.8,20380,0
4.417,0,35,12,0.816,26,70,9,100,107,0,35,12.8,7010,0
4.482,10204,35,12,0.816,26,70,9,100,107,0,35,12.8,7010,0
4.552,9920,35,12,0.816,26,70,9,100,106,0,34,12.8,70,0
4.605,10169,35,12,0.816,26,70,9,100,107,0,35,12.8,-620,0
4.667,10141,35,13.2,0.898,26,70,9,100,107,0,35,12.8,-620,0
4.731,10094,39,13.2,0.898,26,70,9,100,108,50,35,12.8,-2090,0
4.797,10000,69,13.2,0.898,26,70,25,100,127,420,36,12.8,400,0
4.871,10169,84,13.8,0.939,26,70,25,100,131,420,34,12.8,400,0
4.937,10087,62,13.8,0.939,26,70,25,100,123,420,35,12.8,530,0
5.014,9914,35,13.8,0.939,26,70,9,100,106,0,34,12.8,-870,0
5.084,9157,21,13.8,0.939,26,70,9,100,91,0,36,12.8,-870,0
5.158,8532,15,13.6,0.925,26,70,9,100,70,0,34,12.9,-9250,0
5.236,7915,11,13.6,0.925,26,70,9,100,68,0,32,12.9,-8270,0
5.31,7400,9,13.6,0.925,26,70,9,100,67,0,30,12.9,-8270,0
5.375,6849,8,13.2,0.898,26,70,9,100,66,0,30,12.9,-8140,0
5.436,6418,8,13.2,0.898,26,70,9,100,66,0,30,12.9,-8390,0
5.497,5709,8,13.2,0.898,26,70,9,100,61,0,30,12.9,-7540,0
5.584,5211,8,13.2,0.898,26,70,9,100,58,0,28,12.9,-7540,0
5.653,4796,8,13.1,0.891,26,70,9,100,61,0,27,12.9,-7690,0
5.715,4321,8,13.1,0.891,26,70,9,100,61,0,27,12.9,-7170,0
5.785,3959,8,13.1,0.891,26,70,9,100,58,0,26,12.9,-7170,0
5.846,3639,8,13.1,0.891,26,70,9,100,55,0,26,12.9,-5520,0
5.908,3198,8,12.9,0.878,26,70,9,100,52,0,25,12.9,-5520,0
5.973,2900,8,12.9,0.878,26,70,9,100,50,0,24,12.9,-5710,0
6.035,2743,8,12.9,0.878,26,70,9,100,49,0,24,12.9,-4550,0
6.095,2396,8,12.9,0.878,26,70,9,100,49,0,23,12.9,-4550,0
6.186,2207,8,12,0.816,26,70,9,100,49,0,23,12.8,-3470,0
6.247,2142,8,12,0.816,26,70,9,100,49,0,23,12.8,-3010,0
6.305,2026,8,12,0.816,26,70,9,100,49,0,23,12.8,-3010,0
6.366,2118,8,12,0.816,26,70,9,100,49,0,23,12.8,-690,0
6.428,2201,8,11.4,0.776,26,70,9,100,49,0,23,12.9,-690,0
6.489,2312,8,11.4,0.776,26,70,9,100,49,0,23,12.9,1750,0
6.579,2518,10,11.4,0.776,26,70,9,100,50,0,24,12.9,2350,0
6.641,2774,13,11.6,0.789,26,70,9,100,53,40,24,12.9,2230,0
6.728,2944,16,11.6,0.789,26,70,9,100,61,40,25,12.9,2850,0
6.796,3593,20,11.6,0.789,26,70,9,100,72,60,30,12.9,2850,0
6.866,4608,24,11.6,0.789,26,70,9,100,79,50,33,12.9,10140,0
6.94,5643,27,14.3,0.973,26,70,9,100,94,40,36,12.9,13830,0
7.013,6827,29,14.3,0.973,26,70,9,100,104,0,34,12.9,13830,0
7.083,8196,29,14.3,0.973,26,70,9,100,101,0,36,12.9,18080,0
7.161,9345,29,13.8,0.939,26,70,9,100,104,0,36,12.9,17310,0
7.235,9810,29,13.8,0.939,26,70,9,100,105,0,34,12.9,8160,0
7.313,9683,29,13.8,0.939,26,70,9,100,105,0,35,12.9,8160,0
7.394,10273,36,12.8,0.871,26,70,25,100,107,90,35,12.8,3040,0
7.468,0,62,12.8,0.871,26,70,25,100,117,90,39,12.8,16730,0
7.529,0,81,12.8,0.871,26,70,25,100,131,90,34,12.8,16730,0
